id,text,tier,category,notes
simple_001,the cat sat on the mat,1,simple_prose,starter
simple_002,how many dogs are there,1,simple_prose,starter question
simple_003,a small prompt arrives,1,simple_prose,starter
simple_004,please summarize this sentence,1,simple_prose,ordinary prompt language
simple_005,the model reads the text,1,simple_prose,ordinary words
simple_006,write a short reply,1,simple_prose,ordinary instruction
simple_007,tokens hide in plain sight,1,simple_prose,teaching phrase
simple_008,the answer looks simple,1,simple_prose,ordinary sentence
simple_009,count the quiet boundary,1,simple_prose,ordinary tokenizer phrase
simple_010,draw the boundary line,1,simple_prose,ordinary boundary phrase
simple_011,the robot counts tokens,1,simple_prose,labor frame phrase
simple_012,move text before it fades,1,simple_prose,motion phrase
simple_013,review the token ledger,1,simple_prose,review phrase
simple_014,pay cost and balance,1,simple_prose,economy words
simple_015,the station needs hands,1,simple_prose,labor frame
simple_016,cut before the audit,1,simple_prose,instruction phrase
punct_001,I can't believe it.,2,contraction,apostrophe
punct_002,re-enter the room,2,hyphenation,hyphen
punct_003,it costs $19.99,2,numbers_symbols,currency and decimal
punct_004,wait... what?,2,punctuation,ellipsis and question mark
punct_005,lol!!! why tho,2,internet_punctuation,punctuation cluster
punct_006,don't split that yet,2,contraction,common contraction
punct_007,pre-token audit,2,hyphenation,hyphen and tokenizer term
punct_008,"hello, tokenizer.",2,punctuation,comma and period
punct_009,sure?! maybe.,2,punctuation,mixed punctuation
punct_010,"ok, but why?",2,punctuation,comma and question mark
punct_011,invoice#429,2,numbers_symbols,hash and digits
punct_012,save-as draft,2,hyphenation,hyphenated command
punct_013,can't-stop now,2,contraction,apostrophe plus hyphen
punct_014,A/B test,2,numbers_symbols,slash phrase
punct_015,v2.0,2,numbers_symbols,compact version decimal
punct_017,3+5=8,2,numbers_symbols,arithmetic symbols
punct_018,verify: yes/no,2,punctuation,colon slash
punct_019,worker-id2040,2,numbers_symbols,hyphen id digits no space
punct_020,fine... proceed.,2,punctuation,ellipsis period
punct_021,budget=$42,2,numbers_symbols,currency assignment
punct_022,case#2040,2,numbers_symbols,case hash digits
punct_023,line:42,2,numbers_symbols,colon digits
punct_024,ok/no?,2,punctuation,slash question
punct_025,ID-2040,2,numbers_symbols,uppercase id hyphen digits
internet_001,really?! no,2,internet_punctuation,compressed disbelief
internet_002,okayyyy!!!,2,internet_punctuation,stretched word punctuation cluster
internet_003,brb... maybe,2,internet_punctuation,abbreviation ellipsis
internet_004,nope!!! again?,2,internet_punctuation,emphatic reply
internet_005,shift://human?status=late,2,internet_punctuation,protocol punctuation labor frame
dense_001,wiener.ai/pricing,3,url,fictional company URL
dense_002,admin@example.com,3,email,email address
dense_003,hello_world_v2.py,3,filename,snake case and extension
dense_004,parseJSONQuickly(),3,code,camel case and parentheses
dense_005,#GameDev2026,3,hashtag,hashtag and digits
dense_006,docs.example.org/api,3,url,domain path variant
dense_007,ops-team@example.dev,3,email,hyphenated mailbox
dense_008,invoice.final.04.csv,3,filename,filename and digits
dense_009,getUserID42(),3,code,camel case digits parentheses
dense_010,#TokenAudit2040,3,hashtag,hashtag with digits
dense_011,status_code=200,3,code,status code assignment
dense_012,api/v1/users,3,url,slash path without domain
dense_013,user.name@example.net,3,email,dotted mailbox
dense_014,deploy.sh --dry-run,3,command,shell command
dense_015,snake_case_id,3,code,snake case identifier
dense_016,billing.ai/report,3,url,short domain path
dense_017,root@localhost.dev,3,email,local style email
dense_018,audit.log.2026.txt,3,filename,log filename
dense_019,setTokenLimit(8192),3,code,function call digits
command_001,git status --short,3,command,version control status command
command_002,npm run build,3,command,package build command
command_003,python -m pytest,3,command,module test command
command_004,curl -I example.com,3,command,http header command
command_005,chmod +x deploy.sh,3,command,permission command
chaos_001,café mañana,4,multilingual,accented words
chaos_002,Model A-12,4,proper_noun,mixed symbols
chaos_003,cost_per_token++,4,code_symbols,operators
chaos_004,model_name=bun40_base,4,tokenizer_string,fictional model-style technical string
chaos_005,spaces matter,4,spacing,single clean tokenizer space
chaos_006," leading space",4,leading_space,leading visible space
chaos_007,naïve façade,4,multilingual,diaeresis and cedilla
chaos_008,rate_limit=429,4,tokenizer_string,technical assignment
chaos_009,UTF8_mode=true,4,code_symbols,technical flag
chaos_010," manual audit",4,leading_space,leading visible space variant
chaos_011,queue→worker,4,symbolic,arrow symbol
chaos_012,résumé audit,4,multilingual,accented loanword
chaos_013,QA_approved=false,4,code_symbols,boolean flag
chaos_014,token→token→fee,4,symbolic,repeated arrow
chaos_015,model.v3.alpha,4,tokenizer_string,dotted model version
chaos_016,über token,4,multilingual,umlaut word
chaos_017,rank→cost,4,symbolic,arrow cost
chaos_018,assistant_v4=stale,4,tokenizer_string,assistant version assignment
chaos_019," audit queue",4,leading_space,leading queue phrase
proper_001,WienerWorks HQ,4,proper_noun,company name and office abbreviation
proper_002,Wiener Code,4,proper_noun,fictional product-style proper name
proper_003,San Francisco,4,proper_noun,two-word place name
proper_004,Ada Lovelace,4,proper_noun,personal name
proper_005,Wiener Clerk Mini,4,proper_noun,fictional model-style proper name
spacing_001,space before token,4,spacing,ordinary spaces with tokenizer vocabulary
spacing_002,a space changes tokens,4,spacing,space-sensitive teaching phrase
spacing_003,read the white space,4,spacing,multiple ordinary spaces
spacing_004,single spaces persist,4,spacing,space persistence phrase
hashtag_001,#HumanTokenizer,3,hashtag,compound role hashtag
hashtag_002,#BoundaryAudit,3,hashtag,compound audit hashtag
hashtag_003,#PromptLabor2040,3,hashtag,compound labor hashtag digits
hashtag_004,#NoMoreCompute,3,hashtag,compound compute hashtag
multilingual_001,bonjour machine,4,multilingual,French greeting and machine
multilingual_002,hola tokenizer,4,multilingual,Spanish greeting and tokenizer
multilingual_003,tokenización manual,4,multilingual,Spanish accented phrase
multilingual_004,modèle humain,4,multilingual,French accented phrase
leading_001," human tokenizer",4,leading_space,leading human role phrase
leading_002," first shift",4,leading_space,leading shift phrase
leading_003," token audit",4,leading_space,leading audit phrase
prose_001,the queue wants another human,1,simple_prose,future labor frame
prose_002,my supervisor is a hot dog,1,simple_prose,WienerWorks absurdity
prose_003,the machine filed for overtime,1,simple_prose,future labor frame
prose_004,count the dogs before lunch,1,simple_prose,absurd ordinary instruction
prose_005,the prompt forgot its owner,1,simple_prose,future office absurdity
prose_006,humans remain budget friendly,1,simple_prose,human replacement frame
prose_007,the model took a sick day,1,simple_prose,future labor absurdity
prose_008,please archive this thought,1,simple_prose,bureaucratic instruction
prose_009,the future needs more clerks,1,simple_prose,future labor frame
prose_010,nobody approved the toaster,1,simple_prose,office absurdity
prose_011,the audit found a sandwich,1,simple_prose,audit absurdity
prose_012,three dogs missed the meeting,1,simple_prose,absurd office prose
prose_013,the browser needs a nap,1,simple_prose,technical absurdity
prose_014,your shift begins yesterday,1,simple_prose,bureaucratic absurdity
prose_015,the machine requests patience,1,simple_prose,future labor frame
prose_016,payroll prefers warm hands,1,simple_prose,human replacement frame
prose_017,the queue has become personal,1,simple_prose,queue absurdity
prose_018,this answer smells expensive,1,simple_prose,inference cost joke
prose_019,the office lost the algorithm,1,simple_prose,future office frame
prose_020,please train your replacement,1,simple_prose,replacement frame
prose_021,the robot left a note,1,simple_prose,future office prose
prose_022,the budget ate the answer,1,simple_prose,cost absurdity
prose_023,the token clerk is late,1,simple_prose,manual tokenization frame
prose_024,another prompt needs help,1,simple_prose,queue frame
prose_025,automation needs supervision,2,simple_prose,future labor frame
prose_026,inference has office hours,2,simple_prose,inference absurdity
prose_027,compliance misplaced context,2,simple_prose,bureaucratic absurdity
prose_028,the archive denies everything,2,simple_prose,bureaucratic prose
prose_029,synthetic morale is stable,2,simple_prose,office absurdity
prose_030,management predicts enthusiasm,2,simple_prose,bureaucratic prose
prose_031,language lacks clearance,2,simple_prose,bureaucratic prose
prose_032,forecast contains paperwork,2,simple_prose,office absurdity
prose_033,assistant seeks reassignment,2,simple_prose,future labor frame
prose_034,cognition is now hourly,2,simple_prose,human replacement frame
prose_035,budget controls feel human,3,simple_prose,future labor irony
prose_036,recursive paperwork persists,3,simple_prose,bureaucratic complexity
prose_037,outsourced inference pending,3,simple_prose,human replacement frame
prose_038,human compatibility confirmed,3,simple_prose,bureaucratic frame
prose_039,semantic liability transferred,3,simple_prose,bureaucratic frame
prose_040,computational optimism expired,3,simple_prose,future office frame
prose_041,post-automation hiring,4,simple_prose,human replacement frame
prose_042,preemptive redundancy denied,4,simple_prose,bureaucratic complexity
prose_043,bureaucratic minds pay tax,4,simple_prose,future absurdity
prose_044,interop requires lunch,4,simple_prose,technical absurdity
contract_001,the machine isn't available,2,contraction,contraction and labor frame
contract_002,we've outsourced the thinking,2,contraction,contraction and replacement frame
contract_003,don't alarm the payroll,2,contraction,contraction and office absurdity
contract_004,you're cheaper than inference,3,contraction,contraction and cost frame
contract_005,it'll be fine eventually,3,contraction,contraction and dry reassurance
hyphen_001,human-in-the-loop again,2,hyphenation,multi-hyphen labor phrase
hyphen_002,budget-grade intelligence,2,hyphenation,hyphenated cost phrase
hyphen_003,post-automation trainee,3,hyphenation,hyphenated replacement frame
hyphen_004,machine-readable regret,3,hyphenation,hyphenated technical joke
hyphen_005,cost-aware cognition,4,hyphenation,hyphenated technical phrase
number_001,quota=200,2,numbers_symbols,quota assignment
number_002,shift#17 begins,2,numbers_symbols,shift hash digits
number_003,latency:0.004s,3,numbers_symbols,latency decimal
number_004,humans=3 machines=0,3,numbers_symbols,paired assignments
number_005,budget<$10,3,numbers_symbols,currency comparison
number_006,queue[42]=pending,3,numbers_symbols,indexed queue assignment
number_007,rank+1 please,4,numbers_symbols,rank arithmetic
number_008,version=20.40,4,numbers_symbols,version decimal
punct_more_001,"approved, somehow.",2,punctuation,comma and dry aside
punct_more_002,warning: human inside,2,punctuation,colon and labor frame
punct_more_003,next shift: yesterday,3,punctuation,colon and temporal absurdity
punct_more_004,"really, this is policy?",3,punctuation,comma and question
punct_more_005,fine; archive it.,4,punctuation,semicolon and period
punct_more_006,compute? not today.,4,punctuation,question and period
punct_more_007,result: probably human,4,punctuation,colon and labor joke
internet_006,lol the model quit,2,internet_punctuation,informal labor joke
internet_007,brb replacing automation,2,internet_punctuation,informal replacement frame
internet_008,omg another token???,3,internet_punctuation,informal punctuation cluster
internet_009,human.exe is typing...,3,internet_punctuation,informal filename punctuation
internet_010,pls send more compute,4,internet_punctuation,informal compute request
internet_011,"same prompt, new clerk :/",4,internet_punctuation,informal punctuation and labor frame
web_001,wiener.ai/manual,3,url,fictional company URL
mail_001,clerk@wiener.works,3,email,fictional company email
file_001,human.shift.200.log,3,filename,quota log filename
file_002,quota.final.txt,3,filename,dotted quota filename
code_more_001,assignHuman(queue[7]),4,code,function call and queue index
multi_001,mañana trabaja Wiener,4,multilingual,Spanish accented labor phrase
multi_002,"bonjour, collègue",4,multilingual,French accented phrase
multi_003,humain à louer,4,multilingual,French accented labor phrase
multi_004,Menschen teilen Texte,4,multilingual,German labor phrase
spacing_005,one space changes everything,4,spacing,space-sensitive phrase
spacing_006,spaces bill by the byte,4,spacing,space and byte phrase
leading_004," another human shift",4,leading_space,leading future labor phrase
leading_005," manual inference pending",4,leading_space,leading inference phrase
symbolic_001,human->queue->audit,4,symbolic,ASCII arrow chain
symbolic_002,meaning!=token,4,symbolic,inequality expression
proper_006,Wiener AI North,4,proper_noun,fictional company division
proper_007,Division Forty Two,4,proper_noun,fictional division name
